
index,JNAME,P0,P1,F0,F1,DM,
320,J0557+2442_P,1.482160,,0.674691,,195.10,
321,J0557-2948,0.043643,7.30e-20,22.913372,-3.833e-17,49.03,
322,J0600-5756,2.261365,2.78e-15,0.442211,-5.436e-16,30.00,
323,J0601-0527,0.395969,1.30e-15,2.525449,-8.305e-15,80.54,
324,J0605+1937_P,0.698190,,1.432275,,116.80,
325,J0605+3757,0.002728,4.72e-21,366.575069,-6.339e-16,20.95,
326,J0608+00,1.076200,,0.929195,,48.50,
327,J0608+1635,0.945845,1.35e-14,1.057256,-1.510e-14,86.08,
328,J0609+2130,0.055698,2.35e-19,17.953962,-7.575e-17,38.73,
329,J0610-2100,0.003861,1.23e-20,258.978475,-8.267e-16,60.67,
330,J0611+04,1.674430,,0.597218,,69.90,
331,J0611+1436,0.270329,4.00e-15,3.699190,-5.469e-14,43.99,
332,J0611+30,1.412090,,0.708170,,45.26,
333,J0612+3721,0.297982,5.95e-17,3.355904,-6.697e-16,27.15,
334,J0612+37216,0.443871,1.50e-16,2.252905,-7.600e-16,39.27,
335,J0613+3731,0.619198,3.24e-15,1.614992,-8.463e-15,18.99,
336,J0613-0200,0.003062,9.59e-21,326.600562,-1.023e-15,38.78,
337,J0614+2229,0.334960,5.94e-14,2.985431,-5.299e-13,96.91,
338,J0614+83,1.039200,,0.962279,,44.20,
339,J0614-3329,0.003149,1.74e-20,317.594455,-1.757e-15,37.05,
340,J0620+1711_P,0.441030,,2.267419,,146.90,
341,J0621+0336,0.269954,7.22e-17,3.704333,-9.911e-16,72.54,
342,J0621+1002,0.028854,4.73e-20,34.657407,-5.681e-17,36.56,
343,J0621+2514,0.002722,2.48e-20,367.405552,-3.352e-15,83.63,
344,J0621-55,,,,,22.00,
345,J0622+0339_P,0.008772,3.47e-20,114.005147,-4.510e-16,79.42,
346,J0622+3749,0.333208,2.54e-14,3.001126,-2.290e-13,,
347,J0623+0220_P,0.472200,,2.117747,,32.10,
348,J0623+0340,0.613760,8.84e-17,1.629302,-2.346e-16,54.00,
349,J0624-0424,1.039077,8.30e-16,0.962392,-7.692e-16,70.83,
350,J0625+10,0.498397,,2.006433,,78.00,
351,J0625+1403_P,0.727910,,1.373796,,134.50,
352,J0627+0649,0.346523,1.70e-15,2.885809,-1.414e-14,86.67,
353,J0627+0706,0.475885,2.98e-14,2.101348,-1.316e-13,138.22,
354,J0627+16,2.180000,,0.458716,,113.00,
355,J0628+0909,1.241421,5.48e-16,0.805528,-3.555e-16,88.30,
356,J0629+2415,0.476623,2.00e-15,2.098095,-8.785e-15,84.18,
357,J0630+1002_P,2.881470,,0.347045,,149.30,
358,J0630+19,1.248550,,0.800929,,48.10,
359,J0630-0046,0.680575,3.75e-15,1.469346,-8.092e-15,97.90,
360,J0630-2834,1.244427,7.12e-15,0.803583,-4.600e-15,34.42,
361,J0631+0646,0.110979,3.62e-15,9.010718,-2.937e-13,195.20,
362,J0631+1036,0.287841,1.03e-13,3.474139,-1.240e-12,125.31,
363,J0633+0632,0.297395,7.96e-14,3.362529,-8.999e-13,,
364,J0633+1746,0.237099,1.10e-14,4.217640,-1.952e-13,2.89,
365,J0633-2015,3.253211,3.82e-15,0.307389,-3.609e-16,90.70,
366,J0635+0533,0.033856,,29.536430,,,
367,J0636+5128,0.002869,3.45e-21,348.559226,-4.190e-16,11.11,
368,J0636-23,0.476000,,2.100840,,59.12,
369,J0636-3044,0.003946,,253.436600,,15.46,
370,J0636-4549,1.984597,3.17e-15,0.503881,-8.054e-16,26.31,
371,J0637+0332_P,,,,,152.00,
372,J0639+0828_P,,,,,290.10,
373,J0639-0704,0.986486,1.63e-16,1.013699,-1.670e-16,105.06,
374,J0640-0139,0.003461,4.90e-20,288.892721,-4.088e-15,149.98,
375,J0641+0359_P,0.646210,,1.547485,,160.40,
376,J0641+0448_P,0.025670,,38.955980,,155.10,
377,J0641+07,,,,,52.00,
378,J0642+0238_P,0.729130,,1.371498,,146.70,
379,J0643+0350_P,1.144860,,0.873469,,122.00,
380,J0645+5158,0.008853,4.92e-21,112.949723,-6.278e-17,18.25,
381,J0645+80,0.657870,,1.520057,,49.70,
382,J0646+0905,0.903913,7.36e-16,1.106301,-9.009e-16,149.70,
383,J0646-54,0.002510,,398.406375,,40.10,
384,J0646-5455,0.002507,1.81e-21,398.837695,-2.883e-16,40.23,
385,J0647+0913,1.234854,6.42e-15,0.809813,-4.211e-15,154.70,
386,J0648-27,4.169000,,0.239866,,132.50,
387,J0651-0055_P,1.050700,,0.951746,,150.00,
388,J0652-0142,0.924054,1.52e-16,1.082188,-1.786e-16,116.30,
389,J0653+0443_P,0.047530,,21.039344,,27.30,
390,J0653+4706,0.004758,2.08e-20,210.166607,-9.170e-16,25.54,
391,J0653+8051,1.214441,3.80e-15,0.823424,-2.576e-15,33.32,
392,J0653-06,0.790000,,1.265823,,83.70,
393,J0656-2228,1.224754,2.67e-17,0.816490,-1.780e-17,32.53,
394,J0656-5449,0.183157,3.19e-17,5.459799,-9.514e-16,66.12,
395,J0658+0022,0.563295,9.15e-15,1.775269,-2.884e-14,115.60,
396,J0658+2936,0.823701,1.44e-15,1.214033,-2.120e-15,39.00,
